event,project,start_time,end_time,participants
Daily standup — AI Project,AI Project,2026-04-14 08:30,2026-04-14 09:00,Team
Client steering committee — Healthcare System,Healthcare System,2026-04-14 09:00,2026-04-14 09:45,Client; Team
Architecture review — Banking Platform,Banking Platform,2026-04-14 10:10,2026-04-14 11:10,Team; Leadership
Sprint review — Retail Analytics,Retail Analytics,2026-04-14 11:45,2026-04-14 13:15,Team
Internal risk discussion — AI Project,AI Project,2026-04-14 14:00,2026-04-14 15:30,Leadership; Team
UAT war room — Healthcare System,Healthcare System,2026-04-14 15:45,2026-04-14 16:15,Client; Team
Data model walkthrough — Banking Platform,Banking Platform,2026-04-14 16:40,2026-04-14 17:25,Team
Executive readout prep — Retail Analytics,Retail Analytics,2026-04-15 08:00,2026-04-15 09:00,Leadership
Daily standup — AI Project,AI Project,2026-04-15 09:45,2026-04-15 11:00,Team
Client steering committee — Healthcare System,Healthcare System,2026-04-15 11:15,2026-04-15 12:45,Client; Team
Architecture review — Banking Platform,Banking Platform,2026-04-15 13:10,2026-04-15 13:40,Team; Leadership
Sprint review — Retail Analytics,Retail Analytics,2026-04-15 14:15,2026-04-15 15:00,Team
Internal risk discussion — AI Project,AI Project,2026-04-15 15:45,2026-04-15 17:15,Leadership; Team
UAT war room — Healthcare System,Healthcare System,2026-04-16 08:00,2026-04-16 09:15,Client; Team
Data model walkthrough — Banking Platform,Banking Platform,2026-04-16 09:40,2026-04-16 11:10,Team
Executive readout prep — Retail Analytics,Retail Analytics,2026-04-16 11:45,2026-04-16 12:15,Leadership
Daily standup — AI Project,AI Project,2026-04-16 13:00,2026-04-16 13:45,Team
Client steering committee — Healthcare System,Healthcare System,2026-04-16 14:00,2026-04-16 15:00,Client; Team
Architecture review — Banking Platform,Banking Platform,2026-04-16 15:00,2026-04-16 16:15,Team; Leadership
Sprint review — Retail Analytics,Retail Analytics,2026-04-16 16:50,2026-04-16 18:20,Team
Internal risk discussion — AI Project,AI Project,2026-04-17 08:00,2026-04-17 08:30,Leadership; Team
UAT war room — Healthcare System,Healthcare System,2026-04-17 08:45,2026-04-17 10:15,Client; Team
Data model walkthrough — Banking Platform,Banking Platform,2026-04-17 10:40,2026-04-17 11:40,Team
Executive readout prep — Retail Analytics,Retail Analytics,2026-04-17 12:15,2026-04-17 13:30,Leadership
Daily standup — AI Project,AI Project,2026-04-17 14:15,2026-04-17 15:45,Team
Client steering committee — Healthcare System,Healthcare System,2026-04-17 16:00,2026-04-17 16:30,Client; Team
Architecture review — Banking Platform,Banking Platform,2026-04-17 16:55,2026-04-17 17:40,Team; Leadership
Sprint review — Retail Analytics,Retail Analytics,2026-04-18 08:00,2026-04-18 09:00,Team
Internal risk discussion — AI Project,AI Project,2026-04-18 09:45,2026-04-18 11:00,Leadership; Team
UAT war room — Healthcare System,Healthcare System,2026-04-18 11:15,2026-04-18 12:45,Client; Team
Data model walkthrough — Banking Platform,Banking Platform,2026-04-18 13:10,2026-04-18 14:40,Team
Executive readout prep — Retail Analytics,Retail Analytics,2026-04-18 15:15,2026-04-18 16:00,Leadership
Daily standup — AI Project,AI Project,2026-04-18 16:45,2026-04-18 17:45,Team
Client steering committee — Healthcare System,Healthcare System,2026-04-19 08:00,2026-04-19 09:15,Client; Team
Architecture review — Banking Platform,Banking Platform,2026-04-19 09:40,2026-04-19 11:10,Team; Leadership
Sprint review — Retail Analytics,Retail Analytics,2026-04-19 11:10,2026-04-19 11:40,Team
Internal risk discussion — AI Project,AI Project,2026-04-19 12:25,2026-04-19 13:10,Leadership; Team
UAT war room — Healthcare System,Healthcare System,2026-04-19 13:25,2026-04-19 14:25,Client; Team
Data model walkthrough — Banking Platform,Banking Platform,2026-04-19 14:50,2026-04-19 16:05,Team
Executive readout prep — Retail Analytics,Retail Analytics,2026-04-19 16:40,2026-04-19 18:10,Leadership
Daily standup — AI Project,AI Project,2026-04-20 08:00,2026-04-20 08:30,Team
Client steering committee — Healthcare System,Healthcare System,2026-04-20 08:45,2026-04-20 09:30,Client; Team
Architecture review — Banking Platform,Banking Platform,2026-04-20 09:55,2026-04-20 10:55,Team; Leadership
Sprint review — Retail Analytics,Retail Analytics,2026-04-20 11:30,2026-04-20 12:45,Team
Internal risk discussion — AI Project,AI Project,2026-04-20 13:30,2026-04-20 15:00,Leadership; Team
UAT war room — Healthcare System,Healthcare System,2026-04-20 15:15,2026-04-20 15:45,Client; Team
Data model walkthrough — Banking Platform,Banking Platform,2026-04-20 16:10,2026-04-20 16:55,Team
Executive readout prep — Retail Analytics,Retail Analytics,2026-04-21 08:00,2026-04-21 09:00,Leadership
Daily standup — AI Project,AI Project,2026-04-21 09:45,2026-04-21 11:15,Team
Client steering committee — Healthcare System,Healthcare System,2026-04-21 11:30,2026-04-21 13:00,Client; Team
Architecture review — Banking Platform,Banking Platform,2026-04-21 13:25,2026-04-21 13:55,Team; Leadership
Sprint review — Retail Analytics,Retail Analytics,2026-04-21 14:30,2026-04-21 15:15,Team
Internal risk discussion — AI Project,AI Project,2026-04-21 15:15,2026-04-21 16:15,Leadership; Team
UAT war room — Healthcare System,Healthcare System,2026-04-21 16:30,2026-04-21 17:45,Client; Team
Data model walkthrough — Banking Platform,Banking Platform,2026-04-22 08:00,2026-04-22 09:30,Team
Executive readout prep — Retail Analytics,Retail Analytics,2026-04-22 10:05,2026-04-22 10:35,Leadership
Daily standup — AI Project,AI Project,2026-04-22 11:20,2026-04-22 12:05,Team
Client steering committee — Healthcare System,Healthcare System,2026-04-22 12:20,2026-04-22 13:50,Client; Team
Architecture review — Banking Platform,Banking Platform,2026-04-22 14:15,2026-04-22 15:30,Team; Leadership
Sprint review — Retail Analytics,Retail Analytics,2026-04-22 16:05,2026-04-22 17:35,Team
Internal risk discussion — AI Project,AI Project,2026-04-23 08:00,2026-04-23 08:30,Leadership; Team
UAT war room — Healthcare System,Healthcare System,2026-04-23 08:45,2026-04-23 09:30,Client; Team
Data model walkthrough — Banking Platform,Banking Platform,2026-04-23 09:55,2026-04-23 10:55,Team
Executive readout prep — Retail Analytics,Retail Analytics,2026-04-23 11:30,2026-04-23 12:45,Leadership
Daily standup — AI Project,AI Project,2026-04-23 13:30,2026-04-23 15:00,Team
Client steering committee — Healthcare System,Healthcare System,2026-04-23 15:15,2026-04-23 15:45,Client; Team
Architecture review — Banking Platform,Banking Platform,2026-04-23 16:10,2026-04-23 17:40,Team; Leadership
Sprint review — Retail Analytics,Retail Analytics,2026-04-24 08:00,2026-04-24 09:00,Team
